schema.table	estimated_rows	columns
ksei.data5_mutasi	80772 rows	10 cols
ksei.data5_mutasi_backup	51878 rows	10 cols
ksei.monthly_snapshot	43868 rows	88 cols
ksei.ownership_1pct	36000 rows	13 cols
ksei.tb_ksei_monthly_scored	704 rows	22 cols
ksei.tb_ksei_screener	1361 rows	32 cols
ksei.whale_timing_snapshot	10422 rows	15 cols
main.broker_activity	3377643 rows	9 cols
main.broker_classification	91 rows	6 cols
main.insider_major_holder	22109 rows	22 cols
main.tb_broker_rolling_net	1609 rows	12 cols
market.company_profile	963 rows	4 cols
market.daily_transactions	566770 rows	24 cols
market.daily_transactions_backup	522579 rows	24 cols
market.screener_period	965 rows	17 cols
market.tb_broker_accum_14d	365 rows	31 cols
market.tb_broker_accum_30d	360 rows	31 cols
market.tb_broker_accum_5d	406 rows	31 cols
market.tb_broker_accum_60d	340 rows	31 cols
market.tb_broker_accum_90d	355 rows	31 cols
market.tb_broker_accumulation	158 rows	25 cols
market.tb_broker_screener	966 rows	27 cols
market.tb_composite_v2	395 rows	27 cols
market.tb_foreign_multiperiod	843 rows	37 cols
market.tb_foreign_screener	339 rows	28 cols
market.tb_market_pulse	1 rows	26 cols
market.tb_market_summary	598 rows	10 cols
market.tb_radar	966 rows	25 cols
market.tb_score_calibration	4 rows	9 cols
market.tb_signal_validation	16 rows	11 cols
market.tb_smart_money_score	966 rows	11 cols
market.tb_stock_latest	966 rows	28 cols
