view	ms	rows	status
market.vw_a_alert_summary	13165	538	ok
market.vw_c_composite_score	5027	966	ok
market.vw_ownership_1pct_latest	1322		Catalog Error: Table with name
market.vw_stock_multi_signal	1129	966	ok
market.vw_watchlist_radar	980	966	ok
market.vw_group_leader_laggard	927	268	ok
main.vw_insider_with_market	907	625	ok
market.vw_group_phase_composite	871	40	ok
market.vw_broker_ksei_confirm	841	1498	ok
main.vw_insider_alert_feed	831	4321	ok
market.vw_group_broker_stance	822	4820	ok
ksei.vw_insider_screener	800	353	ok
main.vw_insider_net_flow_by_stock	795	624	ok
market.vw_sector_analytics	788	14	ok
main.vw_insider_latest_position	779	1748	ok
ksei.vw_whale_timing	770	10422	ok
market.vw_tactical_momentum_smart_money	761	317	ok
market.vw_smart_money_score	743	966	ok
market.vw_f_price_history	742	567368	ok
main.vw_insider_conviction_score	734	624	ok
main.vw_insider_activity_feed	731	18020	ok
market.vw_screener_allinone	718	966	ok
ksei.vw_ownership_1pct_latest	697	7209	ok
market.vw_group_multi_period_perf	694	99	ok
ksei.vw_top_investors	664	5176	ok
main.vw_broker_daily	652	12137	ok
ksei.vw_stealth_accumulation	641	12002	ok
ksei.vw_ksei_inst_positioning	625	0	ok
market.vw_stock_latest	621	966	ok
ksei.vw_ksei_individual_changes	617	253	ok
market.vw_stock_detail	604	567368	ok
main.vw_broker_market_breadth	603	136	ok
